artist_id,name,genres,popularity
estelaVp,Estela Nuñez,['rock-n-roll'],30
pablo_Hs,Pablo Francisco,['comedy'],21
nadezhPQ,Nadezhda Obukhova,['romance'],0
the_frGO,The Frights,['garage'],56
toshihzC,Toshihiro Tachibana;Shigeo Matsuzawa;Masahiro Anzai;Music Creation,['disney'],21
originOn,Original Cast of Amélie,['show-tunes'],22
one_hojm,One Hope,['sad'],52
meduzam6,MEDUZA;James Carter;Elley Duhé;FAST BOY,['electro'],85
niky_npU,Niky Nine,['club'],39
norm_ebE,Norm Ender,['turkish'],38
fuel07,Fuel,['alt-rock'],0
good_rHV,Good Riddance,['hardcore'],31
ocean_eV,Ocean Waves For Sleep,['sleep'],34
fuse_oYG,Fuse ODG;Ed Sheeran;Mugeez,['dancehall'],53
boøwyMm,BOØWY,['rockabilly'],26
bruno_DT,Bruno & Marrone,['sertanejo'],46
spear_6h,Spear Of Destiny,['goth'],21
yonder9N,Yonder Mountain String Band,['bluegrass'],22
emile_vz,Emile Pandolfi,['piano'],56
mimi_w5s,Mimi Webb,['songwriter'],69
brando6t,Brando;Ninetails,['edm'],0
naskE,Nas,['hardcore'],68
joker_hI,Joker Xue,['mandopop'],53
"tito_""Qo","Tito ""El Bambino"";Beenie Man;Ines",['reggaeton'],2
steve_Nf,Steve Miller Band,['country'],2
gappy_jL,Gappy Ranks,['dancehall'],34
seikim33,Seikima-II,['heavy-metal'],22
georgeYu,George Jones,['honky-tonk'],11
drosseff,Drossel,['disco'],31
arty;rLe,ARTY;Rozzi,['progressive-house'],62
ice_niH4,Ice Nine Kills,['metalcore'],0
cem_kaAA,Cem Karaca,['psych-rock'],32
oliverjU,Oliver Smith,['trance'],50
coral_qH,Coral Voice Soul,['groove'],25
days_n3Y,Days N Daze,['acoustic'],28
dimitrXA,Dimitri Vegas & Like Mike;David Guetta;Daddy Yankee;Afro Bros;Natti Natasha;Dimitri Vegas;Bassjackers,['progressive-house'],49
nico;u4K,Nico;uChill,['songwriter'],0
swarm;Fy,SWARM;SOUNDR,['club'],16
hank_wYY,Hank Williams,['honky-tonk'],11
peach_Ya,peach tinted,['chill'],58
diogo_5X,Diogo Nogueira;Hamilton De Holanda,['samba'],38
gamperqq,GAMPER & DADONI;Mark Wilkinson,['deep-house'],55
tess_pgt,Tess Parks,['psych-rock'],25
neophy04,Neophyte,['happy'],18
the_mi6Y,The Miracles,['blues'],0
lasse_xx,Lasse Stefanz,['country'],47
masahaGB,Masaharu Fukuyama,['acoustic'],31
phil_wry,Phil Wickham,['alt-rock'],55
robin_kd,Robin Thicke;T.I.;Pharrell Williams,['soul'],76
uverwodT,UVERworld,['anime'],36
christrA,Christopher Titus,['comedy'],22
vicentbj,Vicente Amigo;Pepe De Pura,['guitar'],22
multansl,Multani,['electronic'],25
rufus_Uy,Rufus Wainwright,['songwriter'],0
los_prUH,Los Prisioneros,['hardcore'],32
roy_daSi,Roy Davis Jr.,['chicago-house'],32
dj_viafB,Dj Viana;Dj Matheus Henrique,['funk'],47
yann_tKG,Yann Tiersen,['ambient'],55
vishalni,Vishal Dadlani;Amit Trivedi,['hip-hop'],59
ashleykt,Ashley McBryde,['country'],0
rustageS,Rustage;Shwabadi;Connor Quest!,['anime'],44
btsBJ,BTS,['k-pop'],66
arijitdQ,Arijit Singh;Shreya Ghoshal,['pop-film'],58
aimerxq,Aimer,['anime'],56
gabby_Qz,Gabby Barrett,['country'],74
leoniuZ,Leoni,['brazil'],45
ati242zn,Ati242,['turkish'],39
the_shwo,The Shadows,['british'],57
spuntiQG,Spuntic,['iranian'],0
simoneN3,Simone & Simaria,['sertanejo'],46
"tito_""ZV","Tito ""El Bambino"";Beenie Man;Ines",['reggae'],2
die_toG4,Die Toten Hosen,['punk-rock'],36
noel_t3Z,Noel Toms,['malay'],22
a_day_ds,A Day To Remember,['metalcore'],26
bigricMV,BigRicePiano,['piano'],46
emma_siR,Emma Shapplin,['opera'],21
chris_0c,Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow,['latin'],0
dj_smaBc,DJ Smallz 732;Kyle Edwards,['club'],15
tenth_Bn,Tenth Avenue North,['world-music'],50
noda_d4o,Noda de Caju,['forro'],38
gee_teYE,Gee Tee,['garage'],25
demi_l53,Demi Lovato,['dance'],0
moderaFH,Moderat;Siriusmo;Solomun,['electronic'],54
hakan_l8,Hakan Akkus,['groove'],44
shankaJL,Shankar-Ehsaan-Loy;Shankar Mahadevan,['pop-film'],57
blind_G3,Blind Witness,['death-metal'],22
luis_s93,Luis Salinas,['guitar'],25
smokeyMp,Smokey Robinson & The Miracles;Kevin Ross,['soul'],0
anstanHb,Anstandslos & Durchgeknallt,['party'],28
aromalEa,Aromal Chekaver,['malay'],16
maelo_kM,Maelo Ruiz,['salsa'],28
a_rockb4,A Rocket To The Moon,['emo'],56
los_frvK,Los Freddy's,['rock-n-roll'],30
vishalON,Vishal-Shekhar;Vishal Dadlani;Shekhar Ravjiani;Kumaar;Vayu,['pop'],67
fm-84;PU,FM-84;Ollie Wride,['synth-pop'],45
fallinnS,Falling In Reverse,['punk'],72
mwuanaBz,Mwuana,['dancehall'],29
iliza_r6,Iliza Shlesinger,['comedy'],22
scootelb,Scooter,['techno'],27
avenge36,Avenged Sevenfold,['alternative'],70
tubeTh,TUBE,['j-pop'],36
miguelEz,Miguel Calo;Raul Beron,['tango'],17
bicepln,Bicep,['ambient'],54
d._immhi,D. Imman;VV Prassanna;Vandana Srinivasan,['pop-film'],58
calvinZb,Calvin Harris;Disciples;DJ Snake,['progressive-house'],41
the_wiFB,The Wiggles,['children'],31
jim_brEx,Jim Brickman,['new-age'],20
salem_il,salem ilese,['indie'],0
mattheOv,Matthew Sweet,['power-pop'],21
lil_pe01,Lil Peep,['emo'],66
devendQr,Devendra Banhart,['folk'],0
jobiimA,Jobii,['study'],28
kshmr;Wq,KSHMR;NOUMENN,['progressive-house'],45
bölzerjY,Bölzer,['black-metal'],17
alan_mos,Alan Menken,['disney'],62
xian_zDs,Xian Zi,['mandopop'],43
akina_DZ,Akina Nakamori,['j-idol'],20
martinqS,Martin Shamoonpour,['iranian'],0
felmaxGA,FelMax,['dubstep'],38
deeklipt,Deekline;Ed Solo;General Levy;Benny Page,['breakbeat'],11
pritamCG,Pritam;Arijit Singh;Shilpa Rao,['indian'],48
the_smd4,The Smashing Pumpkins,['grunge'],55
shankaWS,Shankar-Ehsaan-Loy;Sadhana Sargam;Sujata Bhattacharya;Udit Narayan;Sonu Nigam,['pop-film'],63
dune_rX0,Dune Rats,['garage'],26
nucleyMl,Nucleya;Julius Sylvest;Gagan Mudgal,['indie'],46
zaeden0j,Zaeden,['indie-pop'],41
rosarijx,Rosario,['spanish'],28
brothecy,Brothers of Metal,['heavy-metal'],55
juan_mLM,Juan Magán;Paulina Rubio;DCS,['electro'],0
los_crzx,Los Crudos,['power-pop'],23
stringkb,Stringbean,['bluegrass'],22
boogieWE,Boogie T,['dub'],26
chelsezM,Chelsea Cutler,['electro'],0
kevin_tM,Kevin Roldan,['latin'],2
chicãoUy,Chicão do Piseiro,['forro'],41
the_wigd,The Wiggles,['children'],30
moskwaiL,Moskwa,['hardcore'],32
devil_Wb,Devil Master,['black-metal'],19
federinM,Federico Albanese,['ambient'],52
lani_lPE,Lani Love,['kids'],8
wolfgaH7,Wolfgang Amadeus Mozart;Danielle Laval,['classical'],16
hank_wHz,Hank Williams,['honky-tonk'],12
jessienl,Jessie Ware,['soul'],0
dom_dops,Dom Dolla;Clementine Douglas;Matt Guy,['deep-house'],0
onze:2ZX,Onze:20,['j-rock'],34
jack_h0r,Jack Hartmann,['kids'],9
granrob5,GRANRODEO,['anime'],49
arijitHN,Arijit Anand,['indian'],45
bts5A,BTS,['k-pop'],62
benny_KX,Benny Anderssons Orkester;Helen Sjöholm;Tommy Körberg,['swedish'],36
the_baMh,The Bamboos,['afrobeat'],18
