track_id,title,artist_id,album_id,popularity,duration_ms,danceability,energy,acousticness,instrumentalness,liveness,track_genre
azgPw,No Volveré,estelaVp,estela_Qfc,30,200026,0.417,0.161,0.483,0.0,0.715,rock-n-roll
pSR0B,Country Music / Mexican Cowboy / Tough Cowboy,pablo_Hs,knee_t_7Y5,21,235893,0.48,0.558,0.82,0.0,0.821,comedy
t5RqC,Ya Vecher Mlada,nadezhPQ,world__OtC,0,88999,0.437,0.346,0.96,0.0,0.129,romance
4fItn,Tungs,the_frGO,you_ar_V9X,56,170298,0.565,0.618,0.0697,6.37e-05,0.509,garage
HUCAj,The Virginia Company (Reprise),toshihzC,pocaho_D3i,21,35506,0.407,0.162,0.876,6.21e-06,0.158,disney
7T5pH,A Better Haircut,originOn,amélie_JsM,22,275413,0.491,0.288,0.816,0.0,0.209,show-tunes
q6fw7E,the overthinker,one_hojm,the_ov_XUx,52,196250,0.663,0.351,0.406,0.0,0.147,sad
6sJWx,Bad Memories (feat. Elley Duhé & FAST BOY),meduzam6,bad_me_3hf,85,148629,0.607,0.767,0.118,0.0,0.122,electro
VyLgcM,Exhausted Divinity,niky_npU,suncor_Xs5,39,287500,0.535,0.68,0.0108,0.932,0.107,club
ykpm,Konu Kilit,norm_ebE,konu_k_LdY,38,212357,0.876,0.721,0.0216,0.0,0.0654,turkish
grgu,Won't Back Down,fuel07,hallow_mYF,0,201426,0.465,0.883,0.000101,0.425,0.638,alt-rock
ak0pux,Mother Superior,good_rHV,for_go_I0a,31,186000,0.474,0.829,0.00136,1.16e-05,0.345,hardcore
GbXrU,Waves: Night,ocean_eV,ocean__UXf,34,198212,0.0645,0.302,0.00312,0.0,0.607,sleep
DwMkz,Boa Me (feat. Ed Sheeran & Mugeez),fuse_oYG,boa_me_x5N,53,180500,0.906,0.597,0.165,2.94e-06,0.0775,dancehall
xf3Otk,PSYCHOPATH,boøwyMm,psycho_3Ft,26,285093,0.792,0.818,0.00787,0.014,0.0716,rockabilly
T8UiGo,Passou da Conta,bruno_DT,paixão_L56,46,281053,0.473,0.585,0.525,5.29e-06,0.097,sertanejo
iXFWI,Prisoner Of Love,spear_6h,one_ey_bZe,21,216893,0.491,0.904,0.000165,0.00186,0.186,goth
7CNa,No Rain,yonder9N,mounta_HmI,22,251693,0.433,0.47,0.0909,0.0106,0.675,bluegrass
zHSYnJ,So This Is Love,emile_vz,so_thi_WVR,56,172187,0.279,0.234,0.975,0.871,0.0908,piano
6jAYsI,Good Without,mimi_w5s,good_w_D6Q,69,182121,0.616,0.576,0.0723,0.0,0.375,songwriter
xxfYEz,Saturday Night (Feel The Groove),brando6t,armada_vtg,0,153925,0.692,0.775,0.0278,0.0,0.427,edm
6rIGb,The World Is Yours,naskE,illmat_s20,68,290573,0.678,0.794,0.274,1.68e-06,0.124,hardcore
2lrP,剛剛好,joker_hI,初學者_feF,53,250482,0.473,0.41,0.603,7.06e-06,0.109,mandopop
UNWe,Flow Natural,"tito_""Qo",perreo_JZr,2,173866,0.831,0.789,0.121,0.0,0.328,reggaeton
ZU1Td,Abracadabra,steve_Nf,hallow_n9D,2,308373,0.791,0.534,0.0749,1.99e-06,0.156,country
87jF,Heaven In Her Eyes,gappy_jL,the_bi_tRs,34,227333,0.875,0.484,0.0136,0.000626,0.154,dancehall
dfqYP,魔界舞曲,seikim33,地獄より愛を_SlO,22,321253,0.646,0.809,0.00331,0.0134,0.199,heavy-metal
9d40r,Small Time Laboring Man,georgeYu,mr._co_q4W,11,153862,0.497,0.29,0.914,3.33e-05,0.134,honky-tonk
pYrhf5,A teraz tańcz - Radio Edit,drosseff,a_tera_FeN,31,233469,0.68,0.79,0.0827,0.000318,0.107,disco
SYP2AY,Who Do You Love,arty;rLe,who_do_Wuv,62,208253,0.537,0.964,0.018,0.00138,0.16,progressive-house
WYr2O,Stabbing In The Dark,ice_niH4,happy__bNl,0,276866,0.333,0.943,0.00123,0.0,0.0609,metalcore
E6AdH,Kara Sevda,cem_kaAA,haykır_nNh,32,258626,0.367,0.756,0.0617,0.695,0.274,psych-rock
PMlOn,Be Alone,oliverjU,be_alo_TjK,50,219615,0.567,0.967,0.0108,0.0228,0.314,trance
zo6D,Ele Voltará,coral_qH,ele_vo_LEA,25,189640,0.471,0.882,0.0584,0.0,0.0976,groove
GKb1x,Fate of a Coward,days_n3Y,rogue__gXp,28,175046,0.583,0.534,0.569,0.0,0.351,acoustic
UXt7X,Instagram - Bassjackers Remix,dimitrXA,tomorr_HLS,49,217178,0.494,0.823,0.025,0.00101,0.209,progressive-house
3Zi9r,These Days - Slowed + Reverb,nico;u4K,slowed_Qxn,0,263316,0.255,0.131,0.973,0.124,0.116,songwriter
TxHV53,Eat Me Alive,swarm;Fy,i'll_n_ZzK,16,293173,0.398,0.872,0.00137,0.232,0.0981,club
b0Bov0,All The Love I Ever Had - 1990 Original Singles Version,hank_wYY,the_co_V3L,11,105706,0.517,0.178,0.991,0.0312,0.272,honky-tonk
